"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"1","2025-06-17","09:26:00","0:05","5.9","30.5",,
"1","2025-06-17","09:26:00","0:10","7.5",,,
"1","2025-06-17","09:26:00","0:15","8.6",,,
"1","2025-06-17","09:26:00","0:20","10.2",,,
"1","2025-06-17","09:26:00","0:25","10.6",,,
"1","2025-06-17","09:26:00","0:30","10.9",,,
"1","2025-06-17","09:26:00","0:35","11","30.4",,
"1","2025-06-17","09:26:00","0:40","11.4",,,
"1","2025-06-17","09:26:00","0:45","12",,,
"1","2025-06-17","09:26:00","0:50","12.5",,,
"1","2025-06-17","09:26:00","0:55","13.1",,,
"1","2025-06-17","09:26:00","1:00","13.5","30.3",,
"1","2025-06-17","09:26:00","1:05","13.7",,,
"1","2025-06-17","09:26:00","1:10","13.8",,,
"1","2025-06-17","09:26:00","1:15","14.3",,,
"1","2025-06-17","09:26:00","1:20","14.4","30.2",,
"1","2025-06-17","09:26:00","1:25","14.4",,,
"1","2025-06-17","09:26:00","1:30","14.2",,,
"1","2025-06-17","09:26:00","1:35","14",,,
"1","2025-06-17","09:26:00","1:40","14.3","30.1",,
"1","2025-06-17","09:26:00","1:45","14.3",,,
"1","2025-06-17","09:26:00","1:50","14.1",,,
"1","2025-06-17","09:26:00","1:55","14.2",,,
"1","2025-06-17","09:26:00","2:00","14.2",,,
"1","2025-06-17","09:26:00","2:05","14.4",,,
"1","2025-06-17","09:26:00","2:10","14.6","30.0",,
"1","2025-06-17","09:26:00","2:15","14.5",,,
"1","2025-06-17","09:26:00","2:20","14.7",,,
"1","2025-06-17","09:26:00","2:25","15.1",,,
"1","2025-06-17","09:26:00","2:30","15.7",,,
"1","2025-06-17","09:26:00","2:35","16.1","29.9",,
"1","2025-06-17","09:26:00","2:40","16.4",,,
"1","2025-06-17","09:26:00","2:45","16.7",,,
"1","2025-06-17","09:26:00","2:50","16.9","29.8",,
"1","2025-06-17","09:26:00","2:55","17.2",,,
"1","2025-06-17","09:26:00","3:00","17.6",,,
"1","2025-06-17","09:26:00","3:05","17.8",,,
"1","2025-06-17","09:26:00","3:10","17.9",,,
"1","2025-06-17","09:26:00","3:15","18.1","29.7",,
"1","2025-06-17","09:26:00","3:20","18.3",,,
"1","2025-06-17","09:26:00","3:25","18.2",,,
"1","2025-06-17","09:26:00","3:30","18.2",,,
"1","2025-06-17","09:26:00","3:35","18.4",,,
"1","2025-06-17","09:26:00","3:40","18.4",,,
